date,category,region,sales,profit
2024-01-15,Electronics,North,12500.50,3750.15
2024-01-20,Clothing,South,8900.25,2670.08
2024-01-25,Home,East,6700.00,2010.00
2024-01-30,Food,West,3400.75,1020.23
2024-02-05,Electronics,South,15600.80,4680.24
2024-02-10,Clothing,North,9200.00,2760.00
2024-02-15,Home,West,7100.50,2130.15
2024-02-20,Food,East,3800.00,1140.00
2024-03-01,Electronics,East,13900.00,4170.00
2024-03-05,Clothing,West,8500.75,2550.23
2024-03-10,Home,North,7500.00,2250.00
2024-03-15,Food,South,4200.50,1260.15
2024-04-02,Electronics,West,16800.00,5040.00
2024-04-08,Clothing,East,10200.00,3060.00
2024-04-12,Home,South,8100.25,2430.08
2024-04-18,Food,North,4500.00,1350.00
2024-05-03,Electronics,North,14500.50,4350.15
2024-05-09,Clothing,South,9800.00,2940.00
2024-05-14,Home,East,7800.75,2340.23
2024-05-20,Food,West,4100.00,1230.00
2024-06-01,Electronics,South,17200.00,5160.00
2024-06-07,Clothing,North,11000.50,3300.15
2024-06-13,Home,West,8500.00,2550.00
2024-06-19,Food,East,4800.25,1440.08
2024-07-05,Electronics,East,15800.00,4740.00
2024-07-11,Clothing,West,10500.75,3150.23
2024-07-17,Home,North,8200.00,2460.00
2024-07-23,Food,South,4600.50,1380.15
2024-08-02,Electronics,West,18500.00,5550.00
2024-08-08,Clothing,East,11500.00,3450.00
2024-08-14,Home,South,8900.25,2670.08
2024-08-20,Food,North,5000.00,1500.00
2024-09-01,Electronics,North,16200.50,4860.15
2024-09-07,Clothing,South,10800.00,3240.00
2024-09-13,Home,East,8600.75,2580.23
2024-09-19,Food,West,4900.00,1470.00
2024-10-05,Electronics,South,19200.00,5760.00
2024-10-11,Clothing,North,12000.50,3600.15
2024-10-17,Home,West,9200.00,2760.00
2024-10-23,Food,East,5200.25,1560.08
2024-11-02,Electronics,East,17500.00,5250.00
2024-11-08,Clothing,West,11800.75,3540.23
2024-11-14,Home,North,9000.00,2700.00
2024-11-20,Food,South,5100.50,1530.15
2024-12-01,Electronics,West,21000.00,6300.00
2024-12-07,Clothing,East,13200.00,3960.00
2024-12-13,Home,South,9800.25,2940.08
2024-12-19,Food,North,5500.00,1650.00
